app,review,sentiment
payme,"Вы неудобная система оплаты для электронной продажи. Вам люди пишут,что не возможно оплатить по кюаркоду из фото. В клике это возможно,а вы до сих пор эту функцию сделать не хотите. Покупатели жалуются ,что когда им присылаешь фото кюаркода Холис оплаты, невозможно этот кюаркод вытащить из галереи. А сейчас все оплачивается по кюаркоду и безналично.",Negative
payme,дизайн просто отстой старую поставьте дизайн я привыкну есть старше возраст они как ппревикнут,Negative
payme,Здравствуйте разработчики . возникает проблема не стабильно показывает баланс при пополнение счета за камуналку Свет ну и тд.. исправте пожалуйста. заранее спасибо.,Negative
payme,не работает,Negative
payme,не могу установить ваше приложение payme,Negative
payme,просто ужас.,Negative
payme,ОЧЕНЬ ХОРОШОЕ УДОБНОЕ . МНЕ НРАВИТСЯ,Positive
payme,Самый ужасный банк. Вообще нет совести. Снимают деньги за отсрочку по несколько раз. Да и проценты один к одному. У меня сняли деньги за отсрочку 3 раза. И в каждый раз говорят то что я столько и должен. Мне уже страшно хранить деньги на карте. Пусть сгорит дом у этого банка и кто ведёт такое дело.,Negative
payme,хорошая программа,Positive
payme,👍🏿,Positive
payme,Неверные или запоздалые данные о коммунальных платежах. Зависание приложения. Стало хуже.,Negative
payme,zor,Positive
payme,Рауme иловаси буйича мани шахсий Фикрим: Мен (оплатить позже) деган булинмасидан фойдаланган едим лекин фоизлари жуда котта булиб кетди ва мени уз вактида хабардор килишмади!!! факат смс юборишди Енди еса оператор телефон килиб % лар купайиб кетганлиги туфайли тулов килишимни суради. НЕГА? кунгирок килиб ФОИЗЛАР купайотганини хабардор килишмади?. Хуллас огох булилар бу Рауme иловасидан фойдаланилмаган макул !!!,Negative
payme,очень хорошее приложение,Positive
payme,"Последная обновление, сделал приложение не понятным и тяжолым для слабых телефонов",Negative
payme,zo'r,Positive
payme,классно работает. Спасибо.,Positive
payme,Zoʻr,Positive
payme,"Как давний пользователь Payme и человек, связанный с мобильной разработкой, хочу отметить, что после последнего обновления интерфейс стал значительно менее удобным и интуитивно понятным. Визуально приложение, возможно, пытались сделать более современным, однако с точки зрения пользовательского опыта результат получился спорным. Многие привычные элементы стали менее очевидными, навигация усложнилась, а общее восприятие интерфейса стало менее понятным. Важно учитывать, что Payme пользуются люди ра",Negative
payme,"Кўп хизматларга хатто оддий мобил оператор хизматларига ҳам 1,5 % комиссия қўшиб қўйилган. 1.5 % кешбек деб реклама қилиб қўйилган, бу кешбекдан фойдаланиш учун ойига 39 минг тўлов қилиш керак. Бу маркетинг хийласими",Negative
payme,yangi intefase juda noqulay ekan,Positive
payme,Мне нравится.,Positive
payme,сканер работает очень плохо по 2 минуты надо искать положение чтоб оплатить через qr код,Negative
payme,"ужасно, не могу найти предыдущую оплату, верните обратно прежний интерфейс",Negative
payme,верните старую версию новая не устраивает не хватает информаци обнавлёном приложение,Negative
payme,супер,Positive
payme,"после последнего обновления, невозможно зайти в приложение!!!постоянно выскакивает--приложение не отвечает!!!",Negative
payme,"после этого обновления , где вообще тяжело сориентироваться , приложение просто вылетает.начинаешь операцию , перевод или оплату и все . приложение закрывается. есть некое ощущение, что туда слишком много всего запихнули . ну вот прям для платёжного приложения , это много различной информации.",Negative
payme,oldingi dizayn yaxshidi,Positive
payme,приложения отличное особенно Шак шак выполнение задания выдают бонусы и красивые подарки,Positive
payme,ВСЕ ЧЕТКО,Positive
payme,здравствуйте а почему у меня сейчас с карты сняли 100000 с какой стати у меня сейчас я захожу пойми у меня 100000 снимают как это понять,Negative
payme,Не работает qr оплата,Negative
payme,Visa card dan 25% kamidiya yechib oldi insof kere,Negative
payme,отлично,Positive
payme,"после обновления стало прогонять ваше приложение, вводишь пинкод и начитается : то выкидывает, то ошибка, то якобы ченсор гонит и изаэтого нк заходит, тот только мосент такой ято в дрцгие приложение заходит без проблем",Negative
payme,Oxirgi paytlar payme juda sekin ishlayabdi.,Negative
payme,zor,Positive
payme,O'zbekistonda (peeymaa*) chalik tupoy programma bo'lmasa kerak. bir kun ishlaydi 40 kun ishlamaydi buni yozgan odamni yana 45 yil o'qitib 40 yil praktikada yurishi kerak shundan keyin ham yarimi tuzaladi,Negative
payme,"после последней обновы ужасно долго прогружает всё, невозможно пользоваться. а так нравилось пользоваться пэйми",Negative
payme,"ужасно, сегодня 20 минут не смог сделать п2п перевод и не работал Пайми го пейми катится только на дно жаль...",Negative
payme,"я изза этого приложения очень мнрго раз опаздывал, думаю лучше перейти на другое приложение",Negative
payme,ужас просто не работает пазооооор,Negative
payme,zo'r,Positive
payme,оплата в бюджет не работаеть. операторы говорять надо обновить всеравно не работаеть,Negative
payme,обновление очень ужасно... Верните пожалуйста старую версию,Negative
payme,не советую,Positive
payme,очень не удобно верните старую версия.,Positive
payme,"неудобное приложение , не надо было обновлять , ужас просто",Negative
payme,"Здравствуйте. Хорошее предложение. Но почему при переводе денег, с меня взяли 1,1%? В Хамкорбанке при переводе за месяц до 5'000'000сум бесплатно. Приложение от Хамкорбанка не работал, пришлось воспользоваться Пайми.",Positive
payme,"очередной уродский редизайн интерфейса, теперь часами сидеть пытаться разобраться что и где находится",Negative
payme,"Здравствуйте. Приложение отличное. Но возник вопрос, сняли с карты 39.990 сум за услугу. Но раньше снимали только 2000 сум. В прошлом месяце взяли отсрочку. И конечно же в течение месяца закрыла отсрочку. А вообщем мне очень нравится это приложение. удачи и процветания Вам.",Positive
payme,"Обновление ужасное, интерфейс невнятный: везде большие пустые шарики. Всё, что вы создали, это регресс? Прошу вернуть старую версию. Она была намного удобнее, даже по сравнению со сторонними приложениями.",Negative
payme,вернули старое обновление 👍,Positive
payme,обновлено очень плохо старый лучше был,Negative
payme,"Иногда не входит вообще , Дизайн зачем изменили? спасибо пора удалять приложение!",Positive
payme,очередной рекламный баннер... очередную приложению испортили... очередное приложение в черный список...,Negative
payme,"Здравствуйте! Мне очень жаль за то что пишу такую отзыв, после обновления приложения стало очень не понятно! Что, где? Куда войти, не понятно, я немого найти мониторинг, и мой дом каждый видно в главном экране по отдельно, три квартира три кнопки, раньше заходил по кнопке мой дом, а сейчас извлечено, много рекламные листи, как будто открыл приложение магазин🤔",Negative
payme,Зачем опять заблокировали возможность делать скриншот? Я и так обновился до последней версии теперь снова скриншот заблокирован вы специально обманываете людей чтобы они обновились и лишились возможности делать скриншот? 🤣,Negative
payme,хороший приложение мне понравился,Positive
payme,Спасибо.,Positive
payme,"Хочу отдельно поблагодарить девушку по имени Одина если я не ошибаюсь/имя точно не помню/ за её участие! У меня были проблемы с оплатой отсрочки, сегодня утром я наконец то оплатила! Дай бог ей здоровья! Также хочу поблагодарить тех.отдел за помощь в восстановлении скидочной оплаты за функцию ""всё включено""!",Negative
payme,очень хороший приложение супер 👍👍👍👍,Positive
payme,"payme, что за ужасное обновление? ничего не понятно, зачем-то в общем балансе выходит ваш ""оплатить позже"", вы сбивает людей",Negative
