review,stars,app,review_clean,sentiment
РаймЕ,5,payme,райме,1
"Вы неудобная система оплаты для электронной продажи. Вам люди пишут,что не возможно оплатить по кюаркоду из фото. В клике это возможно,а вы до сих пор эту функцию сделать не хотите. Покупатели жалуются ,что когда им присылаешь фото кюаркода Холис оплаты, невозможно этот кюаркод вытащить из галереи. А сейчас все оплачивается по кюаркоду и безналично.",1,payme,вы неудобная система оплаты для электронной продажи вам люди пишутчто не возможно оплатить по кюаркоду из фото в клике это возможноа вы до сих пор эту функцию сделать не хотите покупатели жалуются что когда им присылаешь фото кюаркода холис оплаты невозможно этот кюаркод вытащить из галереи а сейчас все оплачивается по кюаркоду и безналично,-1
дизайн просто отстой старую поставьте дизайн я привыкну есть старше возраст они как ппревикнут,2,payme,дизайн просто отстой старую поставьте дизайн я привыкну есть старше возраст они как ппревикнут,-1
Здравствуйте разработчики . возникает проблема не стабильно показывает баланс при пополнение счета за камуналку Свет ну и тд.. исправте пожалуйста. заранее спасибо.,3,payme,здравствуйте разработчики возникает проблема не стабильно показывает баланс при пополнение счета за камуналку свет ну и тд исправте пожалуйста заранее спасибо,-1
не работает,1,payme,не работает,-1
Зўр. Офлайн режимида ҳам телефон балансини тўлдирса яхши бўларди.,5,payme,зр офлайн режимида ам телефон балансини тлдирса яхши бларди,-1
зур,5,payme,зур,1
"второй день уже,именно это приложение не скачиваеться!!!!",1,payme,второй день ужеименно это приложение не скачиваеться,-1
не могу установить ваше приложение payme,1,payme,не могу установить ваше приложение payme,-1
просто ужас.,1,payme,просто ужас,-1
ОЧЕНЬ ХОРОШОЕ УДОБНОЕ . МНЕ НРАВИТСЯ,5,payme,очень хорошое удобное мне нравится,1
за рефералку не даёт денег почему,5,payme,за рефералку не даёт денег почему,-1
Самый ужасный банк. Вообще нет совести. Снимают деньги за отсрочку по несколько раз. Да и проценты один к одному. У меня сняли деньги за отсрочку 3 раза. И в каждый раз говорят то что я столько и должен. Мне уже страшно хранить деньги на карте. Пусть сгорит дом у этого банка и кто ведёт такое дело.,1,payme,самый ужасный банк вообще нет совести снимают деньги за отсрочку по несколько раз да и проценты один к одному у меня сняли деньги за отсрочку раза и в каждый раз говорят то что я столько и должен мне уже страшно хранить деньги на карте пусть сгорит дом у этого банка и кто ведёт такое дело,-1
хорошая программа,4,payme,хорошая программа,1
зур,5,payme,зур,1
👍🏿,5,payme,,1
Неверные или запоздалые данные о коммунальных платежах. Зависание приложения. Стало хуже.,2,payme,неверные или запоздалые данные о коммунальных платежах зависание приложения стало хуже,-1
zor,5,payme,zor,1
